key,English,German

Bild1,"Wolf","Wolf"
Bild1BlockVariantHelper,"Black Forrest Pictures","Black Forrest Bilder"





animalLuckyRabbitBBB,"LuckyRabbit","LuckyRabbit"

zombieSpiderElektroBBB,"Spider2.1","Spider2.1"
zombieSpiderFeuerBBB,"Spider3.0","Spider3.0"
zombieSpiderElektroChargedBBB,"Spider3.1","Spider3.1"
zombieNurseSpritzeBBB,"Nurse2.0","Nurse2.0"
zombieScreamerBurnBBB,"Screamer2.0","Screamer2.0"
zombieSpiderScreamerElectroCowSkullBBB,"SpiderScreamer2.0","SpiderScreamer2.0"
zombieSpiderScreamerFeuerCowSkullBBB,"SphereII","SphereII"
zombieTaserBatonBBB,"Hazmat2.1","Hazmat2.1"

KurbiszombieBBB,"Xyth","Xyth"
KMesserzombieBBB,"Arlene2.0","Arlene2.0"
RMesserzombieBBB,"Spider2.0","Spider2.0"
RAxtzombieBBB,"Lumberjack2.0","Lumberjack2.0"
KurbiszombieFeralBBB,"Feral Xyth","Feral Xyth"
KMesserzombieFeralBBB,"Feral Arlene2.0","Feral Arlene2.0"
RMesserzombieFeralBBB,"Feral Spider2.0","Feral Spider2.0"
RAxtzombieFeralBBB,"Feral Lumberjack2.0","Feral Lumberjack2.0"
KurbiszombieRadiatedBBB,"Radiated Xyth","Radiated Xyth"
KMesserzombieRadiatedBBB,"Radiated Arlene2.0","Radiated Arlene2.0"
RMesserzombieRadiatedBBB,"Radiated Spider2.0","Radiated Spider2.0"
RAxtzombieRadiatedBBB,"Radiated Lumberjack2.0","Radiated Lumberjack2.0"
LampenzombieBBB,"Hazmat2.0","Hazmat2.0"
WineZombiBBB,"Moe2.0","Moe2.0"
LampenzombieFeralBBB,"Feral Hazmat2.0","Feral Hazmat2.0"
WineZombiFeralBBB,"Feral Moe2.0","Feral Moe2.0"
LampenzombieRadiatedBBB,"Radiated Hazmat2.0","Radiated Hazmat2.0"
WineZombiRadiatedBBB,"Radiated Moe2.0","Radiated Moe2.0"

medicalT4-1,"Tier 4 Fog Whitw","Stufe 4 Nebel Weiss"
medicalT4-2,"Tier 4 Fog Red","Stufe 4 Nebel Rot"
medicalT4-3,"Tier 4 Fog Blue","Stufe 4 Nebel Blau"
medicalT4-4,"Tier 4 Fog Yellow","Stufe 4 Nebel Gelb"


noteDuke01,"Antipas Note","Antipas Anmerkung"
noteDuke01Desc,"Welcome in Black Forrest","Willkommen in Black Forrest"



quest_WhiteRiverCitizen1_description_title,"Black Forrest","Black Forrest"
quest_WhiteRiverCitizen,"Black Forrest","Black Forrest"
quest_WhiteRiverCitizen1,"Black Forrest","Black Forrest"
quest_WhiteRiverCitizen1_description,"Welcome to Black Forrest","Willkommen in Black Forrest"
quest_WhiteRiverCitizen1_descriptionDesc,"Welcome to Black Forrest","Willkommen to Black Forrest"


meleeWpnClubT0BoneClub,"BoneClub","KnochenKnüppel"
meleeWpnClubT0BoneClubDesc,"BoneClub are very durable and hard-hitting.\n\nRepair with a Repair Kit.\nScrap to Morningstar Parts","KnochenKnüppel sind sehr widerstandsfähig und haben ganz schön Wumms.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Morgensten Patrs zerlegt werden"



meleeWpnClubT3MorgenSternClub,"Morningstar","Morgenstern"
